i_vs	I(R_rs)	I(R_vs)	I(R_vs)/I(R_rs)
Step Information: I_sc=1m Elec=100m  (Run: 1/84)
1.000000000000000e-003	9.994954e-004	5.046192e-007	5.048739e-004
1.165914401179832e-003	9.995368e-004	1.663776e-004	1.664547e-001
1.359356390878525e-003	9.995851e-004	3.597712e-004	3.599206e-001
1.584893192461113e-003	9.996415e-004	5.852517e-004	5.854616e-001
1.847849797422291e-003	9.997071e-004	8.481426e-004	8.483911e-001
2.154434690031883e-003	9.997837e-004	1.154651e-003	1.154901e+000
2.511886431509579e-003	9.998730e-004	1.512013e-003	1.512205e+000
2.928644564625235e-003	9.999772e-004	1.928667e-003	1.928711e+000
3.414548873833600e-003	1.000099e-003	2.414450e-003	2.414212e+000
3.981071705534971e-003	1.000240e-003	2.980832e-003	2.980116e+000
4.641588833612776e-003	1.000405e-003	3.641184e-003	3.639709e+000
5.411695265464634e-003	1.000597e-003	4.411098e-003	4.408464e+000
6.309573444801929e-003	1.000822e-003	5.308751e-003	5.304392e+000
7.356422544596409e-003	1.001083e-003	6.355339e-003	6.348462e+000
8.576958985908937e-003	1.001388e-003	7.575571e-003	7.565069e+000
9.999999999999995e-003	1.001744e-003	8.998256e-003	8.982593e+000
1.165914401179831e-002	1.002158e-003	1.065699e-002	1.063404e+001
1.359356390878525e-002	1.002641e-003	1.259092e-002	1.255775e+001
1.584893192461112e-002	1.003205e-003	1.484573e-002	1.479830e+001
1.847849797422290e-002	1.003862e-003	1.747464e-002	1.740741e+001
2.154434690031882e-002	1.004628e-003	2.053972e-002	2.044511e+001
2.511886431509578e-002	1.005521e-003	2.411334e-002	2.398096e+001
2.928644564625235e-002	1.006562e-003	2.827988e-002	2.809553e+001
3.414548873833599e-002	1.007776e-003	3.313771e-002	3.288204e+001
3.981071705534969e-002	1.009191e-003	3.880152e-002	3.844816e+001
4.641588833612775e-002	1.010841e-003	4.540505e-002	4.491810e+001
5.411695265464631e-002	1.012765e-003	5.310419e-002	5.243488e+001
6.309573444801926e-002	1.015008e-003	6.208073e-002	6.116282e+001
7.356422544596405e-002	1.017623e-003	7.254660e-002	7.129027e+001
8.576958985908932e-002	1.020672e-003	8.474892e-002	8.303249e+001
9.999999999999990e-002	1.024227e-003	9.897577e-002	9.663464e+001
1.165914401179830e-001	1.028371e-003	1.155631e-001	1.123748e+002
1.359356390878524e-001	1.033204e-003	1.349024e-001	1.305671e+002
1.584893192461112e-001	1.038838e-003	1.574505e-001	1.515640e+002
1.847849797422289e-001	1.045407e-003	1.837396e-001	1.757589e+002
2.154434690031881e-001	1.053066e-003	2.143904e-001	2.035869e+002
2.511886431509577e-001	1.061995e-003	2.501267e-001	2.355252e+002
2.928644564625232e-001	1.072406e-003	2.917920e-001	2.720909e+002
3.414548873833597e-001	1.084545e-003	3.403704e-001	3.138370e+002
3.981071705534967e-001	1.098697e-003	3.970085e-001	3.613447e+002
4.641588833612772e-001	1.115198e-003	4.630437e-001	4.152122e+002
5.411695265464629e-001	1.134436e-003	5.400351e-001	4.760384e+002
6.309573444801924e-001	1.156866e-003	6.298005e-001	5.444023e+002
7.356422544596403e-001	1.183017e-003	7.344592e-001	6.208355e+002
8.576958985908929e-001	1.213508e-003	8.564824e-001	7.057906e+002
