i_vs	I(R_rs)	I(R_vs)	I(R_vs)/I(R_rs)
9.999999999999986e-001	1.249057e-003	9.987509e-001	7.996040e+002
1.165914401179830e+000	1.290504e-003	1.164624e+000	9.024564e+002
1.359356390878524e+000	1.338828e-003	1.358018e+000	1.014333e+003
1.584893192461111e+000	1.395170e-003	1.583498e+000	1.134986e+003
1.847849797422288e+000	1.460860e-003	1.846389e+000	1.263906e+003
2.154434690031880e+000	1.537448e-003	2.152897e+000	1.400306e+003
2.511886431509576e+000	1.626743e-003	2.510260e+000	1.543120e+003
2.928644564625231e+000	1.730854e-003	2.926914e+000	1.691023e+003
3.414548873833596e+000	1.852239e-003	3.412697e+000	1.842471e+003
3.981071705534965e+000	1.993763e-003	3.979078e+000	1.995763e+003
4.641588833612770e+000	2.158767e-003	4.639430e+000	2.149111e+003
5.411695265464627e+000	2.351149e-003	5.409344e+000	2.300724e+003
6.309573444801921e+000	2.575449e-003	6.306998e+000	2.448893e+003
7.356422544596399e+000	2.836964e-003	7.353586e+000	2.592062e+003
8.576958985908926e+000	3.141868e-003	8.573817e+000	2.728892e+003
1.000000000000000e+001	3.497360e-003	9.996503e+000	2.858300e+003
Step Information: I_sc=1.58489m Elec=100m  (Run: 2/84)
1.000000000000000e-003	1.583947e-003	-5.839473e-004	-3.686658e-001
1.165914401179832e-003	1.583989e-003	-4.180744e-004	-2.639377e-001
1.359356390878525e-003	1.584037e-003	-2.246807e-004	-1.418406e-001
1.584893192461113e-003	1.584093e-003	7.997675e-007	5.048739e-004
1.847849797422291e-003	1.584159e-003	2.636907e-004	1.664547e-001
2.154434690031883e-003	1.584236e-003	5.701990e-004	3.599206e-001
2.511886431509579e-003	1.584325e-003	9.275614e-004	5.854616e-001
2.928644564625235e-003	1.584429e-003	1.344215e-003	8.483911e-001
3.414548873833600e-003	1.584550e-003	1.829998e-003	1.154901e+000
3.981071705534971e-003	1.584692e-003	2.396380e-003	1.512205e+000
4.641588833612776e-003	1.584857e-003	3.056732e-003	1.928711e+000
5.411695265464634e-003	1.585049e-003	3.826646e-003	2.414212e+000
6.309573444801929e-003	1.585274e-003	4.724300e-003	2.980116e+000
7.356422544596409e-003	1.585535e-003	5.770887e-003	3.639709e+000
8.576958985908937e-003	1.585840e-003	6.991119e-003	4.408464e+000
9.999999999999995e-003	1.586196e-003	8.413805e-003	5.304393e+000
1.165914401179831e-002	1.586610e-003	1.007253e-002	6.348462e+000
1.359356390878525e-002	1.587093e-003	1.200647e-002	7.565069e+000
1.584893192461112e-002	1.587657e-003	1.426128e-002	8.982593e+000
1.847849797422290e-002	1.588314e-003	1.689018e-002	1.063404e+001
2.154434690031882e-002	1.589080e-003	1.995527e-002	1.255775e+001
2.511886431509578e-002	1.589973e-003	2.352889e-002	1.479830e+001
2.928644564625235e-002	1.591014e-003	2.769543e-002	1.740741e+001
3.414548873833599e-002	1.592227e-003	3.255326e-002	2.044511e+001
3.981071705534969e-002	1.593643e-003	3.821708e-002	2.398096e+001
4.641588833612775e-002	1.595293e-003	4.482060e-002	2.809553e+001
5.411695265464631e-002	1.597217e-003	5.251973e-002	3.288204e+001
6.309573444801926e-002	1.599460e-003	6.149628e-002	3.844816e+001
7.356422544596405e-002	1.602075e-003	7.196215e-002	4.491810e+001
8.576958985908932e-002	1.605124e-003	8.416446e-002	5.243487e+001
9.999999999999990e-002	1.608679e-003	9.839132e-002	6.116282e+001
1.165914401179830e-001	1.612823e-003	1.149786e-001	7.129027e+001
1.359356390878524e-001	1.617656e-003	1.343180e-001	8.303249e+001
1.584893192461112e-001	1.623290e-003	1.568660e-001	9.663464e+001
1.847849797422289e-001	1.629859e-003	1.831551e-001	1.123748e+002
2.154434690031881e-001	1.637518e-003	2.138060e-001	1.305671e+002
2.511886431509577e-001	1.646447e-003	2.495422e-001	1.515640e+002
2.928644564625232e-001	1.656858e-003	2.912076e-001	1.757589e+002
3.414548873833597e-001	1.668997e-003	3.397859e-001	2.035869e+002
3.981071705534967e-001	1.683149e-003	3.964240e-001	2.355252e+002
4.641588833612772e-001	1.699650e-003	4.624592e-001	2.720909e+002
5.411695265464629e-001	1.718888e-003	5.394506e-001	3.138370e+002
6.309573444801924e-001	1.741318e-003	6.292160e-001	3.613447e+002
7.356422544596403e-001	1.767469e-003	7.338748e-001	4.152122e+002
8.576958985908929e-001	1.797960e-003	8.558980e-001	4.760385e+002
9.999999999999986e-001	1.833509e-003	9.981665e-001	5.444023e+002
1.165914401179830e+000	1.874956e-003	1.164039e+000	6.208356e+002
1.359356390878524e+000	1.923280e-003	1.357433e+000	7.057906e+002
1.584893192461111e+000	1.979622e-003	1.582914e+000	7.996040e+002
1.847849797422288e+000	2.045311e-003	1.845804e+000	9.024564e+002
2.154434690031880e+000	2.121900e-003	2.152313e+000	1.014333e+003
2.511886431509576e+000	2.211195e-003	2.509675e+000	1.134986e+003
2.928644564625231e+000	2.315306e-003	2.926329e+000	1.263906e+003
3.414548873833596e+000	2.436691e-003	3.412112e+000	1.400306e+003
3.981071705534965e+000	2.578215e-003	3.978493e+000	1.543120e+003
4.641588833612770e+000	2.743219e-003	4.638845e+000	1.691022e+003
5.411695265464627e+000	2.935601e-003	5.408760e+000	1.842471e+003
6.309573444801921e+000	3.159901e-003	6.306414e+000	1.995763e+003
7.356422544596399e+000	3.421416e-003	7.353001e+000	2.149111e+003
8.576958985908926e+000	3.726320e-003	8.573233e+000	2.300724e+003
1.000000000000000e+001	4.081811e-003	9.995918e+000	2.448893e+003
Step Information: I_sc=2.51189m Elec=100m  (Run: 3/84)
1.000000000000000e-003	2.510241e-003	-1.510241e-003	-6.016319e-001
1.165914401179832e-003	2.510283e-003	-1.344368e-003	-5.355446e-001
1.359356390878525e-003	2.510331e-003	-1.150975e-003	-4.584952e-001
1.584893192461113e-003	2.510387e-003	-9.254941e-004	-3.686659e-001
1.847849797422291e-003	2.510453e-003	-6.626032e-004	-2.639377e-001
2.154434690031883e-003	2.510529e-003	-3.560949e-004	-1.418406e-001
2.511886431509579e-003	2.510619e-003	1.267546e-006	5.048739e-004
2.928644564625235e-003	2.510723e-003	4.179216e-004	1.664547e-001
3.414548873833600e-003	2.510844e-003	9.037045e-004	3.599205e-001
3.981071705534971e-003	2.510986e-003	1.470086e-003	5.854616e-001
4.641588833612776e-003	2.511151e-003	2.130438e-003	8.483910e-001
5.411695265464634e-003	2.511343e-003	2.900352e-003	1.154901e+000
6.309573444801929e-003	2.511568e-003	3.798006e-003	1.512205e+000
7.356422544596409e-003	2.511829e-003	4.844593e-003	1.928711e+000
8.576958985908937e-003	2.512134e-003	6.064825e-003	2.414212e+000
9.999999999999995e-003	2.512489e-003	7.487510e-003	2.980116e+000
1.165914401179831e-002	2.512904e-003	9.146240e-003	3.639709e+000
1.359356390878525e-002	2.513387e-003	1.108018e-002	4.408464e+000
1.584893192461112e-002	2.513951e-003	1.333498e-002	5.304392e+000
1.847849797422290e-002	2.514608e-003	1.596389e-002	6.348462e+000
2.154434690031882e-002	2.515374e-003	1.902897e-002	7.565068e+000
2.511886431509578e-002	2.516266e-003	2.260260e-002	8.982593e+000
2.928644564625235e-002	2.517307e-003	2.676914e-002	1.063404e+001
3.414548873833599e-002	2.518521e-003	3.162697e-002	1.255775e+001
3.981071705534969e-002	2.519937e-003	3.729078e-002	1.479830e+001
4.641588833612775e-002	2.521587e-003	4.389430e-002	1.740741e+001
5.411695265464631e-002	2.523510e-003	5.159344e-002	2.044511e+001
6.309573444801926e-002	2.525753e-003	6.056998e-002	2.398096e+001
7.356422544596405e-002	2.528368e-003	7.103585e-002	2.809553e+001
8.576958985908932e-002	2.531418e-003	8.323817e-002	3.288204e+001
9.999999999999990e-002	2.534973e-003	9.746503e-002	3.844816e+001
1.165914401179830e-001	2.539117e-003	1.140523e-001	4.491810e+001
1.359356390878524e-001	2.543950e-003	1.333917e-001	5.243488e+001
1.584893192461112e-001	2.549584e-003	1.559397e-001	6.116282e+001
1.847849797422289e-001	2.556153e-003	1.822288e-001	7.129027e+001
2.154434690031881e-001	2.563812e-003	2.128797e-001	8.303249e+001
2.511886431509577e-001	2.572741e-003	2.486159e-001	9.663464e+001
2.928644564625232e-001	2.583152e-003	2.902813e-001	1.123748e+002
3.414548873833597e-001	2.595291e-003	3.388596e-001	1.305671e+002
3.981071705534967e-001	2.609443e-003	3.954977e-001	1.515640e+002
4.641588833612772e-001	2.625944e-003	4.615330e-001	1.757589e+002
5.411695265464629e-001	2.645182e-003	5.385243e-001	2.035869e+002
6.309573444801924e-001	2.667612e-003	6.282898e-001	2.355252e+002
7.356422544596403e-001	2.693763e-003	7.329485e-001	2.720909e+002
8.576958985908929e-001	2.724254e-003	8.549716e-001	3.138370e+002
9.999999999999986e-001	2.759803e-003	9.972402e-001	3.613447e+002
1.165914401179830e+000	2.801250e-003	1.163113e+000	4.152121e+002
1.359356390878524e+000	2.849574e-003	1.356507e+000	4.760384e+002
1.584893192461111e+000	2.905916e-003	1.581987e+000	5.444023e+002
1.847849797422288e+000	2.971605e-003	1.844878e+000	6.208355e+002
2.154434690031880e+000	3.048194e-003	2.151386e+000	7.057906e+002
2.511886431509576e+000	3.137489e-003	2.508749e+000	7.996040e+002
2.928644564625231e+000	3.241600e-003	2.925403e+000	9.024564e+002
3.414548873833596e+000	3.362985e-003	3.411186e+000	1.014333e+003
3.981071705534965e+000	3.504508e-003	3.977567e+000	1.134986e+003
4.641588833612770e+000	3.669513e-003	4.637919e+000	1.263906e+003
5.411695265464627e+000	3.861895e-003	5.407834e+000	1.400306e+003
6.309573444801921e+000	4.086195e-003	6.305487e+000	1.543120e+003
7.356422544596399e+000	4.347709e-003	7.352075e+000	1.691023e+003
8.576958985908926e+000	4.652613e-003	8.572307e+000	1.842471e+003
1.000000000000000e+001	5.008105e-003	9.994992e+000	1.995763e+003
Step Information: I_sc=3.98107m Elec=100m  (Run: 4/84)
1.000000000000000e-003	3.978318e-003	-2.978318e-003	-7.486375e-001
1.165914401179832e-003	3.978360e-003	-2.812445e-003	-7.069359e-001
1.359356390878525e-003	3.978408e-003	-2.619051e-003	-6.583164e-001
1.584893192461113e-003	3.978464e-003	-2.393571e-003	-6.016319e-001
1.847849797422291e-003	3.978530e-003	-2.130680e-003	-5.355445e-001
2.154434690031883e-003	3.978606e-003	-1.824172e-003	-4.584952e-001
2.511886431509579e-003	3.978696e-003	-1.466809e-003	-3.686659e-001
2.928644564625235e-003	3.978800e-003	-1.050155e-003	-2.639377e-001
3.414548873833600e-003	3.978921e-003	-5.643724e-004	-1.418406e-001
3.981071705534971e-003	3.979063e-003	2.008925e-006	5.048740e-004
4.641588833612776e-003	3.979228e-003	6.623610e-004	1.664547e-001
5.411695265464634e-003	3.979420e-003	1.432275e-003	3.599205e-001
6.309573444801929e-003	3.979644e-003	2.329929e-003	5.854616e-001
7.356422544596409e-003	3.979906e-003	3.376517e-003	8.483910e-001
8.576958985908937e-003	3.980211e-003	4.596748e-003	1.154901e+000
9.999999999999995e-003	3.980566e-003	6.019433e-003	1.512205e+000
1.165914401179831e-002	3.980981e-003	7.678163e-003	1.928711e+000
1.359356390878525e-002	3.981464e-003	9.612100e-003	2.414212e+000
1.584893192461112e-002	3.982028e-003	1.186690e-002	2.980116e+000
1.847849797422290e-002	3.982685e-003	1.449581e-002	3.639709e+000
2.154434690031882e-002	3.983450e-003	1.756090e-002	4.408464e+000
2.511886431509578e-002	3.984343e-003	2.113452e-002	5.304393e+000
2.928644564625235e-002	3.985384e-003	2.530106e-002	6.348462e+000
3.414548873833599e-002	3.986598e-003	3.015889e-002	7.565069e+000
3.981071705534969e-002	3.988014e-003	3.582270e-002	8.982593e+000
4.641588833612775e-002	3.989663e-003	4.242622e-002	1.063404e+001
5.411695265464631e-002	3.991587e-003	5.012536e-002	1.255775e+001
6.309573444801926e-002	3.993830e-003	5.910191e-002	1.479830e+001
7.356422544596405e-002	3.996445e-003	6.956778e-002	1.740741e+001
8.576958985908932e-002	3.999494e-003	8.177009e-002	2.044511e+001
9.999999999999990e-002	4.003049e-003	9.599695e-002	2.398096e+001
1.165914401179830e-001	4.007194e-003	1.125842e-001	2.809553e+001
1.359356390878524e-001	4.012026e-003	1.319236e-001	3.288204e+001
1.584893192461112e-001	4.017661e-003	1.544717e-001	3.844816e+001
1.847849797422289e-001	4.024229e-003	1.807608e-001	4.491810e+001
2.154434690031881e-001	4.031889e-003	2.114116e-001	5.243488e+001
2.511886431509577e-001	4.040818e-003	2.471478e-001	6.116282e+001
2.928644564625232e-001	4.051229e-003	2.888132e-001	7.129028e+001
3.414548873833597e-001	4.063367e-003	3.373915e-001	8.303249e+001
3.981071705534967e-001	4.077520e-003	3.940296e-001	9.663464e+001
4.641588833612772e-001	4.094020e-003	4.600649e-001	1.123748e+002
5.411695265464629e-001	4.113259e-003	5.370563e-001	1.305671e+002
6.309573444801924e-001	4.135689e-003	6.268216e-001	1.515640e+002
7.356422544596403e-001	4.161840e-003	7.314804e-001	1.757589e+002
8.576958985908929e-001	4.192330e-003	8.535036e-001	2.035869e+002
9.999999999999986e-001	4.227879e-003	9.957721e-001	2.355252e+002
1.165914401179830e+000	4.269327e-003	1.161645e+000	2.720909e+002
1.359356390878524e+000	4.317651e-003	1.355039e+000	3.138370e+002
1.584893192461111e+000	4.373993e-003	1.580519e+000	3.613447e+002
1.847849797422288e+000	4.439682e-003	1.843410e+000	4.152122e+002
2.154434690031880e+000	4.516270e-003	2.149918e+000	4.760384e+002
2.511886431509576e+000	4.605566e-003	2.507281e+000	5.444023e+002
2.928644564625231e+000	4.709677e-003	2.923935e+000	6.208356e+002
3.414548873833596e+000	4.831062e-003	3.409718e+000	7.057906e+002
3.981071705534965e+000	4.972585e-003	3.976099e+000	7.996040e+002
4.641588833612770e+000	5.137590e-003	4.636451e+000	9.024564e+002
5.411695265464627e+000	5.329971e-003	5.406365e+000	1.014333e+003
6.309573444801921e+000	5.554271e-003	6.304019e+000	1.134986e+003
7.356422544596399e+000	5.815786e-003	7.350607e+000	1.263906e+003
8.576958985908926e+000	6.120690e-003	8.570838e+000	1.400306e+003
1.000000000000000e+001	6.476182e-003	9.993524e+000	1.543120e+003
Step Information: I_sc=6.30957m Elec=100m  (Run: 5/84)
1.000000000000000e-003	6.305063e-003	-5.305063e-003	-8.413973e-001
1.165914401179832e-003	6.305105e-003	-5.139190e-003	-8.150841e-001
1.359356390878525e-003	6.305153e-003	-4.945796e-003	-7.844055e-001
1.584893192461113e-003	6.305209e-003	-4.720316e-003	-7.486375e-001
1.847849797422291e-003	6.305275e-003	-4.457425e-003	-7.069359e-001
2.154434690031883e-003	6.305351e-003	-4.150917e-003	-6.583165e-001
2.511886431509579e-003	6.305441e-003	-3.793554e-003	-6.016319e-001
2.928644564625235e-003	6.305545e-003	-3.376900e-003	-5.355446e-001
3.414548873833600e-003	6.305666e-003	-2.891117e-003	-4.584952e-001
3.981071705534971e-003	6.305808e-003	-2.324736e-003	-3.686659e-001
4.641588833612776e-003	6.305973e-003	-1.664384e-003	-2.639377e-001
5.411695265464634e-003	6.306165e-003	-8.944700e-004	-1.418406e-001
6.309573444801929e-003	6.306389e-003	3.183932e-006	5.048739e-004
7.356422544596409e-003	6.306651e-003	1.049772e-003	1.664547e-001
8.576958985908937e-003	6.306956e-003	2.270003e-003	3.599205e-001
9.999999999999995e-003	6.307311e-003	3.692689e-003	5.854616e-001
1.165914401179831e-002	6.307726e-003	5.351418e-003	8.483911e-001
1.359356390878525e-002	6.308209e-003	7.285355e-003	1.154901e+000
1.584893192461112e-002	6.308773e-003	9.540159e-003	1.512205e+000
1.847849797422290e-002	6.309430e-003	1.216907e-002	1.928711e+000
2.154434690031882e-002	6.310195e-003	1.523415e-002	2.414212e+000
2.511886431509578e-002	6.311088e-003	1.880778e-002	2.980116e+000
2.928644564625235e-002	6.312130e-003	2.297432e-002	3.639709e+000
3.414548873833599e-002	6.313343e-003	2.783214e-002	4.408464e+000
3.981071705534969e-002	6.314759e-003	3.349596e-002	5.304393e+000
4.641588833612775e-002	6.316409e-003	4.009948e-002	6.348462e+000
5.411695265464631e-002	6.318332e-003	4.779862e-002	7.565069e+000
6.309573444801926e-002	6.320575e-003	5.677516e-002	8.982594e+000
7.356422544596405e-002	6.323190e-003	6.724104e-002	1.063404e+001
8.576958985908932e-002	6.326240e-003	7.944335e-002	1.255775e+001
9.999999999999990e-002	6.329794e-003	9.367020e-002	1.479830e+001
1.165914401179830e-001	6.333939e-003	1.102575e-001	1.740741e+001
1.359356390878524e-001	6.338771e-003	1.295969e-001	2.044511e+001
1.584893192461112e-001	6.344406e-003	1.521449e-001	2.398095e+001
1.847849797422289e-001	6.350975e-003	1.784340e-001	2.809553e+001
2.154434690031881e-001	6.358634e-003	2.090848e-001	3.288204e+001
2.511886431509577e-001	6.367563e-003	2.448211e-001	3.844816e+001
2.928644564625232e-001	6.377974e-003	2.864865e-001	4.491810e+001
3.414548873833597e-001	6.390112e-003	3.350648e-001	5.243488e+001
3.981071705534967e-001	6.404265e-003	3.917029e-001	6.116282e+001
4.641588833612772e-001	6.420766e-003	4.577381e-001	7.129027e+001
5.411695265464629e-001	6.440004e-003	5.347295e-001	8.303249e+001
6.309573444801924e-001	6.462434e-003	6.244949e-001	9.663463e+001
7.356422544596403e-001	6.488585e-003	7.291537e-001	1.123748e+002
8.576958985908929e-001	6.519075e-003	8.511768e-001	1.305671e+002
9.999999999999986e-001	6.554625e-003	9.934454e-001	1.515640e+002
1.165914401179830e+000	6.596072e-003	1.159318e+000	1.757589e+002
1.359356390878524e+000	6.644396e-003	1.352712e+000	2.035869e+002
1.584893192461111e+000	6.700738e-003	1.578192e+000	2.355252e+002
1.847849797422288e+000	6.766427e-003	1.841083e+000	2.720909e+002
2.154434690031880e+000	6.843016e-003	2.147592e+000	3.138370e+002
2.511886431509576e+000	6.932311e-003	2.504954e+000	3.613447e+002
2.928644564625231e+000	7.036422e-003	2.921608e+000	4.152122e+002
3.414548873833596e+000	7.157806e-003	3.407391e+000	4.760385e+002
3.981071705534965e+000	7.299331e-003	3.973772e+000	5.444023e+002
4.641588833612770e+000	7.464335e-003	4.634124e+000	6.208355e+002
5.411695265464627e+000	7.656716e-003	5.404038e+000	7.057906e+002
6.309573444801921e+000	7.881016e-003	6.301692e+000	7.996040e+002
7.356422544596399e+000	8.142532e-003	7.348280e+000	9.024564e+002
8.576958985908926e+000	8.447436e-003	8.568512e+000	1.014333e+003
1.000000000000000e+001	8.802927e-003	9.991197e+000	1.134986e+003
Step Information: I_sc=10m Elec=100m  (Run: 6/84)
1.000000000000000e-003	9.992706e-003	-8.992705e-003	-8.999270e-001
1.165914401179832e-003	9.992747e-003	-8.826832e-003	-8.833239e-001
1.359356390878525e-003	9.992795e-003	-8.633438e-003	-8.639663e-001
1.584893192461113e-003	9.992852e-003	-8.407959e-003	-8.413973e-001
1.847849797422291e-003	9.992917e-003	-8.145068e-003	-8.150841e-001
2.154434690031883e-003	9.992993e-003	-7.838559e-003	-7.844055e-001
2.511886431509579e-003	9.993083e-003	-7.481197e-003	-7.486375e-001
2.928644564625235e-003	9.993187e-003	-7.064543e-003	-7.069359e-001
3.414548873833600e-003	9.993308e-003	-6.578760e-003	-6.583165e-001
3.981071705534971e-003	9.993450e-003	-6.012379e-003	-6.016320e-001
4.641588833612776e-003	9.993616e-003	-5.352026e-003	-5.355445e-001
5.411695265464634e-003	9.993807e-003	-4.582112e-003	-4.584951e-001
6.309573444801929e-003	9.994032e-003	-3.684459e-003	-3.686659e-001
7.356422544596409e-003	9.994294e-003	-2.637871e-003	-2.639377e-001
8.576958985908937e-003	9.994598e-003	-1.417639e-003	-1.418406e-001
9.999999999999995e-003	9.994954e-003	5.046191e-006	5.048739e-004
1.165914401179831e-002	9.995368e-003	1.663776e-003	1.664547e-001
1.359356390878525e-002	9.995852e-003	3.597712e-003	3.599205e-001
1.584893192461112e-002	9.996415e-003	5.852517e-003	5.854616e-001
1.847849797422290e-002	9.997072e-003	8.481426e-003	8.483911e-001
2.154434690031882e-002	9.997838e-003	1.154651e-002	1.154901e+000
2.511886431509578e-002	9.998730e-003	1.512013e-002	1.512205e+000
2.928644564625235e-002	9.999772e-003	1.928667e-002	1.928711e+000
3.414548873833599e-002	1.000099e-002	2.414450e-002	2.414212e+000
3.981071705534969e-002	1.000240e-002	2.980832e-002	2.980116e+000
4.641588833612775e-002	1.000405e-002	3.641184e-002	3.639709e+000
5.411695265464631e-002	1.000598e-002	4.411098e-002	4.408463e+000
6.309573444801926e-002	1.000822e-002	5.308752e-002	5.304393e+000
7.356422544596405e-002	1.001083e-002	6.355339e-002	6.348462e+000
8.576958985908932e-002	1.001388e-002	7.575571e-002	7.565069e+000
9.999999999999990e-002	1.001744e-002	8.998256e-002	8.982593e+000
1.165914401179830e-001	1.002158e-002	1.065699e-001	1.063404e+001
1.359356390878524e-001	1.002641e-002	1.259092e-001	1.255775e+001
1.584893192461112e-001	1.003205e-002	1.484573e-001	1.479830e+001
1.847849797422289e-001	1.003862e-002	1.747464e-001	1.740741e+001
2.154434690031881e-001	1.004628e-002	2.053972e-001	2.044511e+001
2.511886431509577e-001	1.005521e-002	2.411334e-001	2.398095e+001
2.928644564625232e-001	1.006562e-002	2.827988e-001	2.809553e+001
3.414548873833597e-001	1.007775e-002	3.313771e-001	3.288204e+001
3.981071705534967e-001	1.009191e-002	3.880153e-001	3.844816e+001
4.641588833612772e-001	1.010841e-002	4.540505e-001	4.491810e+001
5.411695265464629e-001	1.012765e-002	5.310419e-001	5.243488e+001
6.309573444801924e-001	1.015008e-002	6.208073e-001	6.116282e+001
7.356422544596403e-001	1.017623e-002	7.254660e-001	7.129027e+001
8.576958985908929e-001	1.020672e-002	8.474892e-001	8.303249e+001
9.999999999999986e-001	1.024227e-002	9.897577e-001	9.663463e+001
1.165914401179830e+000	1.028371e-002	1.155631e+000	1.123748e+002
1.359356390878524e+000	1.033204e-002	1.349024e+000	1.305671e+002
1.584893192461111e+000	1.038838e-002	1.574505e+000	1.515640e+002
1.847849797422288e+000	1.045407e-002	1.837396e+000	1.757589e+002
2.154434690031880e+000	1.053066e-002	2.143904e+000	2.035869e+002
2.511886431509576e+000	1.061995e-002	2.501266e+000	2.355252e+002
2.928644564625231e+000	1.072406e-002	2.917921e+000	2.720909e+002
3.414548873833596e+000	1.084545e-002	3.403703e+000	3.138370e+002
3.981071705534965e+000	1.098697e-002	3.970085e+000	3.613447e+002
4.641588833612770e+000	1.115198e-002	4.630437e+000	4.152122e+002
5.411695265464627e+000	1.134436e-002	5.400351e+000	4.760384e+002
6.309573444801921e+000	1.156866e-002	6.298005e+000	5.444023e+002
7.356422544596399e+000	1.183017e-002	7.344593e+000	6.208356e+002
8.576958985908926e+000	1.213508e-002	8.564824e+000	7.057906e+002
1.000000000000000e+001	1.249057e-002	9.987510e+000	7.996040e+002
Step Information: I_sc=15.8489m Elec=100m  (Run: 7/84)
1.000000000000000e-003	1.583722e-002	-1.483722e-002	-9.368577e-001
1.165914401179832e-003	1.583727e-002	-1.467135e-002	-9.263815e-001
1.359356390878525e-003	1.583732e-002	-1.447796e-002	-9.141674e-001
1.584893192461113e-003	1.583737e-002	-1.425248e-002	-8.999270e-001
1.847849797422291e-003	1.583744e-002	-1.398959e-002	-8.833239e-001
2.154434690031883e-003	1.583751e-002	-1.368308e-002	-8.639664e-001
2.511886431509579e-003	1.583760e-002	-1.332572e-002	-8.413973e-001
2.928644564625235e-003	1.583771e-002	-1.290906e-002	-8.150841e-001
3.414548873833600e-003	1.583783e-002	-1.242328e-002	-7.844055e-001
3.981071705534971e-003	1.583797e-002	-1.185690e-002	-7.486375e-001
4.641588833612776e-003	1.583814e-002	-1.119655e-002	-7.069358e-001
5.411695265464634e-003	1.583833e-002	-1.042663e-002	-6.583165e-001
6.309573444801929e-003	1.583855e-002	-9.528978e-003	-6.016319e-001
7.356422544596409e-003	1.583881e-002	-8.482390e-003	-5.355446e-001
8.576958985908937e-003	1.583912e-002	-7.262159e-003	-4.584951e-001
9.999999999999995e-003	1.583947e-002	-5.839473e-003	-3.686659e-001
1.165914401179831e-002	1.583989e-002	-4.180743e-003	-2.639377e-001
1.359356390878525e-002	1.584037e-002	-2.246807e-003	-1.418406e-001
1.584893192461112e-002	1.584093e-002	7.997674e-006	5.048739e-004
1.847849797422290e-002	1.584159e-002	2.636907e-003	1.664547e-001
2.154434690031882e-002	1.584236e-002	5.701990e-003	3.599205e-001
2.511886431509578e-002	1.584325e-002	9.275614e-003	5.854616e-001
