i_vs	I(R_rs)	I(R_vs)	I(R_vs)/I(R_rs)
Step Information: I_rs=1m Elec=100m Rho=100m  (Run: 1/81)
3.981071705534975e-002	2.050007e-001	1.510378e-001	7.367672e-001
6.309573444801937e-002	2.165137e-001	1.628098e-001	7.519611e-001
1.000000000000001e-001	2.347289e-001	1.814989e-001	7.732280e-001
1.584893192461115e-001	2.634501e-001	2.112670e-001	8.019242e-001
2.511886431509583e-001	3.076430e-001	2.597734e-001	8.443991e-001
3.981071705534977e-001	3.162278e-001	3.981072e-001	1.258925e+000
6.309573444801940e-001	3.162278e-001	6.309574e-001	1.995262e+000
1.000000000000001e+000	3.162278e-001	1.000000e+000	3.162278e+000
1.584893192461116e+000	3.162278e-001	1.584893e+000	5.011872e+000
2.511886431509584e+000	3.162278e-001	2.511886e+000	7.943282e+000
3.981071705534979e+000	3.162278e-001	3.981072e+000	1.258925e+001
6.309573444801944e+000	3.162278e-001	6.309574e+000	1.995262e+001
1.000000000000000e+001	3.162278e-001	1.000000e+001	3.162278e+001
Step Information: I_rs=1 Elec=10 Rho=10  (Run: 79/81)
1.000000000000000e-003	5.292035e-001	4.717965e-001	8.915218e-001
1.584893192461114e-003	5.294952e-001	4.720897e-001	8.915844e-001
2.511886431509581e-003	5.299575e-001	4.725544e-001	8.916834e-001
3.981071705534973e-003	5.306903e-001	4.732908e-001	8.918400e-001
6.309573444801935e-003	5.318516e-001	4.744580e-001	8.920872e-001
1.000000000000000e-002	5.336921e-001	4.763079e-001	8.924771e-001
1.584893192461114e-002	5.366091e-001	4.792399e-001	8.930894e-001
2.511886431509581e-002	5.412320e-001	4.838868e-001	8.940468e-001
3.981071705534975e-002	5.485588e-001	4.912519e-001	8.955320e-001
6.309573444801937e-002	5.601702e-001	5.029255e-001	8.978084e-001
1.000000000000001e-001	5.785714e-001	5.214286e-001	9.012346e-001
1.584893192461115e-001	6.077308e-001	5.507585e-001	9.062540e-001
2.511886431509583e-001	6.539322e-001	5.972565e-001	9.133311e-001
3.981071705534977e-001	7.271136e-001	6.709936e-001	9.228181e-001
6.309573444801940e-001	8.428735e-001	7.880839e-001	9.349966e-001
1.000000000000001e+000	1.000201e+000	9.997991e-001	9.995983e-001
1.584893192461116e+000	1.000000e+000	1.584893e+000	1.584893e+000
2.511886431509584e+000	1.000000e+000	2.511886e+000	2.511886e+000
3.981071705534979e+000	1.000000e+000	3.981072e+000	3.981072e+000
6.309573444801944e+000	1.000000e+000	6.309574e+000	6.309574e+000
1.000000000000000e+001	1.000000e+000	1.000000e+001	1.000000e+001
Step Information: I_rs=3.16228 Elec=10 Rho=10  (Run: 80/81)
1.000000000000000e-003	1.611765e+000	1.551512e+000	9.626169e-001
1.584893192461114e-003	1.612057e+000	1.551805e+000	9.626240e-001
